"URL","views","votes","answers"
"https://stackoverflow.com/questions?tab=newest&page=1","2","0","0"
"https://stackoverflow.com/questions?tab=newest&page=1","2","0","0"
"https://stackoverflow.com/questions?tab=newest&page=1","2","0","0"
"https://stackoverflow.com/questions?tab=newest&page=1","2","0","0"
"https://stackoverflow.com/questions?tab=newest&page=1","3","0","0"
"https://stackoverflow.com/questions?tab=newest&page=1","7","0","0"
"https://stackoverflow.com/questions?tab=newest&page=1","2","0","0"
"https://stackoverflow.com/questions?tab=newest&page=1","2","0","0"
"https://stackoverflow.com/questions?tab=newest&page=1","2","0","0"
"https://stackoverflow.com/questions?tab=newest&page=1","5","0","0"
"https://stackoverflow.com/questions?tab=newest&page=1","7","0","0"
"https://stackoverflow.com/questions?tab=newest&page=1","4","0","0"
"https://stackoverflow.com/questions?tab=newest&page=1","3","0","0"
"https://stackoverflow.com/questions?tab=newest&page=1","4","0","0"
"https://stackoverflow.com/questions?tab=newest&page=1","3","0","0"
"https://stackoverflow.com/questions?tab=newest&page=1","3","0","0"
"https://stackoverflow.com/questions?tab=newest&page=1","6","-1","0"
"https://stackoverflow.com/questions?tab=newest&page=1","3","0","0"
"https://stackoverflow.com/questions?tab=newest&page=1","5","0","0"
"https://stackoverflow.com/questions?tab=newest&page=1","4","0","0"
"https://stackoverflow.com/questions?tab=newest&page=1","7","-1","0"
"https://stackoverflow.com/questions?tab=newest&page=1","3","0","0"
"https://stackoverflow.com/questions?tab=newest&page=1","4","0","0"
"https://stackoverflow.com/questions?tab=newest&page=1","15","0",""
"https://stackoverflow.com/questions?tab=newest&page=1","4","0","0"
"https://stackoverflow.com/questions?tab=newest&page=1","4","0","0"
"https://stackoverflow.com/questions?tab=newest&page=1","2","0","0"
"https://stackoverflow.com/questions?tab=newest&page=1","5","0","0"
"https://stackoverflow.com/questions?tab=newest&page=1","4","0","0"
"https://stackoverflow.com/questions?tab=newest&page=1","3","0","0"
"https://stackoverflow.com/questions?tab=newest&page=1","5","0","0"
"https://stackoverflow.com/questions?tab=newest&page=1","4","0","0"
"https://stackoverflow.com/questions?tab=newest&page=1","4","0","0"
"https://stackoverflow.com/questions?tab=newest&page=1","6","0","0"
"https://stackoverflow.com/questions?tab=newest&page=1","5","0","0"
"https://stackoverflow.com/questions?tab=newest&page=1","5","0","0"
"https://stackoverflow.com/questions?tab=newest&page=1","9","0","0"
"https://stackoverflow.com/questions?tab=newest&page=1","5","0","0"
"https://stackoverflow.com/questions?tab=newest&page=1","6","0","0"
"https://stackoverflow.com/questions?tab=newest&page=1","5","0","0"
"https://stackoverflow.com/questions?tab=newest&page=1","5","0","0"
"https://stackoverflow.com/questions?tab=newest&page=1","4","0","0"
"https://stackoverflow.com/questions?tab=newest&page=1","4","0","0"
"https://stackoverflow.com/questions?tab=newest&page=1","7","0","0"
"https://stackoverflow.com/questions?tab=newest&page=1","5","0","0"
"https://stackoverflow.com/questions?tab=newest&page=1","9","0","0"
"https://stackoverflow.com/questions?tab=newest&page=1","13","0",""
"https://stackoverflow.com/questions?tab=newest&page=1","6","0","0"
"https://stackoverflow.com/questions?tab=newest&page=1","15","0","0"
"https://stackoverflow.com/questions?tab=newest&page=1","3","0","0"
"https://stackoverflow.com/questions?tab=newest&page=2","4","0","0"
"https://stackoverflow.com/questions?tab=newest&page=2","4","0","0"
"https://stackoverflow.com/questions?tab=newest&page=2","4","0",""
"https://stackoverflow.com/questions?tab=newest&page=2","4","-1",""
"https://stackoverflow.com/questions?tab=newest&page=2","7","0","0"
"https://stackoverflow.com/questions?tab=newest&page=2","17","0","0"
"https://stackoverflow.com/questions?tab=newest&page=2","2","0","0"
"https://stackoverflow.com/questions?tab=newest&page=2","9","0","0"
"https://stackoverflow.com/questions?tab=newest&page=2","6","0","0"
